publish_date,headline_category,headline_text,Label,Party,sent1,Bias1,sent2,Bias2
20110731,city.noida,Land row fire spreads to Yamuna e-way,-1,1,neu,-1,0,-1
20140501,city.mumbai,LS polling in Maharashtra over; NCP turns attention to assembly challenge,0,0,neu,-1,0,-1
20180427,business.india-business,Garuda rolls out direct flight service for Mum-Bali,-1,1,neu,-1,0,-1
20130518,city.jaipur,Undertrial flees from Jodhpur jail,0,0,neu,-1,0,-1
20140414,city.mumbai,Mega blocks on Mumbai's Central and Western railways; hinder travel on Sunday,0,0,neu,-1,0,-1
20191027,city.bengaluru,Bengaluru varsities battle faculty shortage,0,0,neg,1,0,-1
20130104,city.patna,Woman jumps off train in Bihar to escape rape bid,0,0,neu,-1,0,-1
20150219,city.hyderabad,Criminal who escaped from cops arrested,0,0,neg,1,-1,1
20030526,city.patna,Police flag march in Ranchi,0,0,neu,-1,0,-1
20070711,india,Antony for artillery modernisation programme,0,0,neu,-1,0,-1
20050122,unknown,Stars take a rest as East meets West,0,0,neu,-1,0,-1
20171121,entertainment.events.bangalore,It's party time for city folk,0,0,neu,-1,0,-1
20080330,world.rest-of-world,Security stepped up in Dhaka jails over fear of militant attacks,0,0,neu,-1,0,-1
20160329,city.mangaluru,New NHs will ease traffic around Mangaluru,0,0,neu,-1,0,-1
20141001,city.mysuru,Opening food stalls helps women realize their dream,0,0,neu,-1,0,-1
20130116,city.gurgaon,Minor allegedly molested by youth,-1,1,neu,-1,0,-1
20141010,entertainment.malayalam.movies.news,Lijo Jose turns scriptwriter,0,0,neu,-1,0,-1
20200127,city.hyderabad,Telangana CM K Chandrasekhar Rao to pay surprise visits to villages,0,0,neu,-1,0,-1
20100625,business.india-business,Aditya Birla Group's think tank gets younger,0,0,neu,-1,0,-1
20090813,sports.football,Governor's Gold Cup football tourney next month,0,0,neu,-1,0,-1
20180125,world.us,Trump administration backs bills to toughen foreign investment rules,0,0,neu,-1,0,-1
20190608,city.indore,'Water wars' intensify; Madhya Pradesh police told to guard tankers,0,0,neu,-1,0,-1
20170416,city.nagpur,Chef to cook for 52 hrs to break world record,0,0,neu,-1,0,-1
20180716,city.ahmedabad,Ram temple will be built without bloodshed: Sambit Patra,-1,1,neu,-1,0,-1
20080329,city.bengaluru,Trapped in a bottleneck,-1,1,neg,0,0,-1
20130224,home.campaigns,The secrets of fine dining,0,0,neu,-1,1,0
20110105,unknown,Another son-in-law of former CJI in land tangle,0,0,neu,-1,0,-1
20100920,world.uk,Searching info; hackers steal Interpol chief's FB identity,0,0,neu,-1,0,-1
20140915,tech.tech-news,Flipkart; Amazon; Snapdeal battle intensifies with Android One,0,0,neu,-1,0,-1
20090214,city.bengaluru,Train fare details,-1,1,neu,-1,0,-1
20140101,city.kanpur,Rash driving claims one life; two injured,0,0,neg,1,0,-1
20200119,city.jaipur,Jaipur's Shaheen Bagh act: Women surge in scores to stir against CAA,0,0,neu,-1,0,-1
20020207,city.chandigarh,20;000 blind knocked out of poll arena,0,0,neu,-1,-1,1
20160528,city.ahmedabad,Advani hails PM Modi for work in Ahmedabad,-1,1,neu,-1,0,-1
20140525,city.gurgaon,Power hurdle for police society,0,0,neu,-1,0,-1
20200609,city.goa,New footbridge at Galgibaga could affect current flow,0,0,neu,-1,0,-1
20150921,india,India; US will continue to push ties to new heights: Verma,0,0,neu,-1,0,-1
20110316,city.chennai,Rs 7;50;00;000... and counting,0,0,neu,-1,0,-1
20151116,city.kolkata,'It's almost like Mumbai',0,0,neu,-1,0,-1
20161216,city.rajkot,52-year-old man held for raping minor step-daughter,0,0,neu,-1,0,-1
20170317,city.ahmedabad,Vishwa Hindu Parishad plans sammelan at GMDC ground,0,0,neu,-1,0,-1
20071208,city.kolkata,LPG crisis hits civic schools,-1,1,neg,0,0,-1
20150504,business.india-business,Mutual fund asset base from smaller cities up 36% at Rs 1.89 lakh crore,0,0,neu,-1,-1,1
20161214,city.lucknow,World class club experience coming to Lucknow at JP centre,0,0,neu,-1,0,-1
20131219,city.mumbai,Max Life Insurance launched a book in Mumbai,0,0,neu,-1,0,-1
20030405,unknown,Straight answers,0,0,pos,0,0,-1
20160324,city.ahmedabad,Budget fails floor test in Ahmedabad district panchayat,0,0,neu,-1,-1,1
20151107,city.hyderabad,CISCE to set up regional centre in Hyderabad,0,0,neu,-1,0,-1
20090714,city.nagpur,My father died again today; says Prof Sabharwal's son,0,0,neu,-1,0,-1
20010912,city.hyderabad,'Neera' keeps youths ticking in Mysore,0,0,neu,-1,0,-1
20160125,city.chennai,Over 10 million Indians leave every year,0,0,neu,-1,0,-1
20120204,city.pune,PMC superintending engineer discharged,0,0,neu,-1,0,-1
20120329,unknown,Rush for Chennai property registration before guideline value hike,-1,1,neu,-1,0,-1
20131218,city.ranchi,Goons open fire at 2 bizmen in Hazaribag; 1 dead,0,0,neu,-1,0,-1
20141229,city.kochi,KMRL eyes ad revenue,0,0,neu,-1,0,-1
20120724,entertainment.malayalam.movies.news,'Bolivian Diary' is a sub story in D Company!,0,0,neu,-1,0,-1
20200403,city.pune,Hotels wear hearts on their facades,0,0,neu,-1,0,-1
20131112,city.kozhikode,Interest-free loan scheme to boost organic farming,0,0,neu,-1,0,-1
20090901,city.pune,Tenders worth Rs 25 cr okayed in a day,-1,1,neu,-1,0,-1
20141013,entertainment.tamil.movies.news,Raai Laxmi signs yet another thriller,0,0,neu,-1,0,-1
20130709,city.mysuru,Week old Direct Cash Transfer scheme is taking baby steps in Mysore,0,0,neu,-1,0,-1
20170924,city.mangaluru,CIIL to digitise Parishat publications under Bharat Vani project: Baligar,0,0,neu,-1,0,-1
20170101,tv.news.hindi,Sasural Simar Ka actress 'mobbed by aunties' on MG Road,0,0,neu,-1,0,-1
20060118,bombay-times,Straight Answers,0,0,pos,0,0,-1
20121015,city.kolkata,BJP's rise may force parties to revise political strategies,0,0,neu,-1,0,-1
20120323,sports.football,Will Venkatesh's death change things?,0,0,neu,-1,0,-1
20171208,city.delhi,Early Christmas shopping at this Australian High Commission mela,0,0,neu,-1,0,-1
20100811,city.kolkata,City Centre to open doors in Siliguri,0,0,neu,-1,0,-1
20151230,city.ahmedabad,Ahmedabad Municipal Corporation seeks toy train maintenance renewal,0,0,neu,-1,0,-1
20110815,photos,India celebrates 65th I-Day,-1,1,pos,1,0,-1
20060818,india,Prez promises war memorial in Delhi,-1,1,neu,-1,0,-1
20120120,city.hyderabad,Naxal leader Nayeem had female guards a la Gaddafi,0,0,neu,-1,0,-1
20130605,city.ranchi,Last minute rush at Ranchi schools,0,0,neu,-1,0,-1
20040617,city.mumbai,Kher promises fresh hearing for Gujarat documentaries,0,0,neu,-1,0,-1
20180528,entertainment.bengali.theatre,A play on gender-based violence,-1,1,neg,0,0,-1
20161125,sports.football,Football: Juve fans wait for Milan fan Kean at Genoa,0,0,neu,-1,0,-1
20160920,city.patna,Home guard's son held for harassing schoolgirl,0,0,neu,-1,0,-1
20131229,sports.icc-world-cup-2015,Saurashtra need win against Services,0,0,neu,-1,1,0
20201017,city.chennai,Actor Soori seeks CBI probe into case against former DGP,-1,1,neu,-1,0,-1
20100928,news,Issues exist in every Game but India will deliver: Charlesworth,0,0,neu,-1,-1,1
20140324,city.nagpur,Umred-Karhandla 2nd most visited park after Pench,0,0,neu,-1,0,-1
20150803,city.chandigarh,Phone tapping: Cong seeks answers from Dhumal,-1,1,neu,-1,0,-1
20191009,city.mumbai,Maharashtra: Night showers bring relief from October heat,-1,1,neu,-1,0,-1
20180421,city.patna,Patna HC issues notices to 2 health department officials for contempt,0,0,neu,-1,0,-1
20161123,city.hubballi,50% of crops lost in Dharwad district due to rain deficit,-1,1,neu,-1,0,-1
20121010,sports.icc-world-cup-2015,Razzaq to consult lawyer before responding to PCB notice,0,0,neu,-1,0,-1
20100831,india,British doctorate for Punjabi singer Gurdas Mann,0,0,neu,-1,0,-1
20030602,videos,62 Tripura militants complete rehabilitation course,0,0,neu,-1,0,-1
20160624,city.surat,Western Railway team to visit Surat railway station today,0,0,neu,-1,0,-1
20170501,life-style.beauty,Birthday special: Anushka Sharma looks amazing without make-up,0,0,pos,0,1,0
20060303,india,Mumbai police raids liquor bars; 90 held,0,0,neu,-1,0,-1
20200719,city.goa,Goa: Wrapped in tarpaulin; students trek 3km to a Surla hill to attend classes online,0,0,neu,-1,0,-1
20130628,city.ranchi,4 Pahadi Cheetah members nabbed,0,0,neu,-1,0,-1
20140921,entertainment.events.mumbai,Kangana Ranaut at the launch of Vero Moda Marquee collection by Karan Johar in Mumbai,0,0,neu,-1,0,-1
20130323,city.delhi,DDA clears land pooling policy,0,0,neu,-1,0,-1
20150911,city.bengaluru,Investigators to get Gokul to reconstruct wife's murder,0,0,neu,-1,0,-1
20141231,india,Uttarakhand governor Aziz Qureshi transferred to Mizoram,0,0,neu,-1,0,-1
